,1/10/2015,2/10/2015,3/10/2015,4/10/2015,5/10/2015,6/10/2015,7/10/2015,8/10/2015,9/10/2015,10/10/2015,11/10/2015,12/10/2015
.po,138647,138632,135432,135432,39124,38811,38783,38783,38783,38593,38593,37711
.py,172591,156716,128369,92432,86063,80045,72659,65188,58153,49594,27836,25000
.svg,123,123,123,123,123,123,123,123,123,0,0,0
.js,28612,28650,28706,28735,28719,28719,13255,11729,8977,4798,4729,4729
.html,713,677,649,554,537,489,489,392,365,272,258,229
.json,3251,3250,3223,27,27,27,27,5,5,5,3,3
.css,1946,1946,1893,1876,1876,1873,1873,1598,724,178,45,45
.txt,44128,42185,35054,33848,32221,30082,25466,23385,21223,20065,15597,14500
